# time = 0
# Grid points = 683
# Domain Size = 14
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -6.9922423613e+00  -7.0000000000e+00   1.0000000000e+00   2.0000000000e-03   1.1113954167e-01  -1.6727283470e-01  -1.8581798068e-01
  -6.9745866990e+00  -6.9844847226e+00   1.0000000000e+00   2.0000000000e-03   1.9934173105e-01  -3.0433728922e-01  -3.3591013101e-01
  -6.9532327768e+00  -6.9646886753e+00   1.0000000000e+00   2.0000000000e-03   2.5534212906e-01  -4.0565095880e-01  -4.4030187415e-01
  -6.9332251566e+00  -6.9417768782e+00   1.0000000000e+00   2.0000000000e-03   2.4643822713e-01  -4.2432654521e-01  -4.4715444852e-01
  -6.9120878636e+00  -6.9246734349e+00   1.0000000000e+00   2.0000000000e-03   1.9755153314e-01  -3.9701528929e-01  -3.9867248454e-01
  -6.8896557359e+00  -6.8995022922e+00   1.0000000000e+00   2.0000000000e-03   1.0544108346e-01  -3.2419115789e-01  -2.9620056455e-01
  -6.8698201268e+00  -6.8798091796e+00   1.0000000000e+00   2.0000000000e-03   9.7753121610e-03  -2.4732714762e-01  -1.9189132863e-01
  -6.8411173907e+00  -6.8598310740e+00   1.0000000000e+00   2.0000000000e-03  -1.3673035194e-01  -1.3357328329e-01  -3.9854541320e-02
  -6.8069731654e+00  -6.8224037075e+00   1.0000000000e+00   2.0000000000e-03  -3.0165538827e-01  -2.2442621960e-02   1.0753278942e-01
  -6.7838094859e+00  -6.7915426234e+00   1.0000000000e+00   2.0000000000e-03  -3.9782031890e-01   3.2307167478e-02   1.7982122632e-01
  -6.7683432108e+00  -6.7760763483e+00   1.0000000000e+00   2.0000000000e-03  -4.5557964135e-01   6.2133336897e-02   2.1902158312e-01
  -6.7518211049e+00  -6.7606100733e+00   1.0000000000e+00   2.0000000000e-03  -5.1008074939e-01   8.7565618389e-02   2.5217439807e-01
  -6.7309244188e+00  -6.7430321366e+00   1.0000000000e+00   2.0000000000e-03  -5.6903845639e-01   1.1249968796e-01   2.8414043786e-01
  -6.7065564327e+00  -6.7188167010e+00   1.0000000000e+00   2.0000000000e-03  -6.2422952435e-01   1.3524305845e-01   3.1219055357e-01
  -6.6807347118e+00  -6.6942961644e+00   1.0000000000e+00   2.0000000000e-03  -6.7271381500e-01   1.5876901928e-01   3.3991295172e-01
  -6.6594136209e+00  -6.6671732592e+00   1.0000000000e+00   2.0000000000e-03  -7.0753940627e-01   1.8096432385e-01   3.6491544215e-01
  -6.6379624194e+00  -6.6516539825e+00   1.0000000000e+00   2.0000000000e-03  -7.4065339466e-01   2.0515417334e-01   3.9125766767e-01
  -6.6138540859e+00  -6.6242708562e+00   1.0000000000e+00   2.0000000000e-03  -7.7519506367e-01   2.3593157125e-01   4.2194432210e-01
  -6.5894856313e+00  -6.6034373156e+00   1.0000000000e+00   2.0000000000e-03  -8.0745166269e-01   2.6957432301e-01   4.5176340839e-01
  -6.5681322366e+00  -6.5755339470e+00   1.0000000000e+00   2.0000000000e-03  -8.3061090563e-01   3.0079040108e-01   4.7244984720e-01
