# time = 0
# Grid points = 169
# Domain Size = 14
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -6.9480339426e+00  -7.0000000000e+00   1.0000000000e+00   1.2500000000e-02  -3.4229322691e+00   1.0261840862e-02   5.7532018892e-02
  -6.8620492137e+00  -6.8960678851e+00   1.0000000000e+00   1.2500000000e-02  -3.3465848636e+00   1.9374209255e-02   1.1393203257e-01
  -6.7940283830e+00  -6.8280305422e+00   1.0000000000e+00   1.2500000000e-02  -3.2864835267e+00   2.5514452998e-02   1.5771493208e-01
  -6.7259122043e+00  -6.7600262238e+00   1.0000000000e+00   1.2500000000e-02  -3.2268117549e+00   3.0238682756e-02   2.0032165440e-01
  -6.6574153829e+00  -6.6917981847e+00   1.0000000000e+00   1.2500000000e-02  -3.1676300814e+00   3.3255621817e-02   2.4145252864e-01
  -6.5881479988e+00  -6.6230325811e+00   1.0000000000e+00   1.2500000000e-02  -3.1090211307e+00   3.4311917177e-02   2.8076755069e-01
  -6.5175578863e+00  -6.5532634166e+00   1.0000000000e+00   1.2500000000e-02  -3.0510656614e+00   3.3176336540e-02   3.1788227089e-01
  -6.4449048555e+00  -6.4818523560e+00   1.0000000000e+00   1.2500000000e-02  -2.9938634066e+00   2.9615571065e-02   3.5232197141e-01
  -6.3692184075e+00  -6.4079573550e+00   1.0000000000e+00   1.2500000000e-02  -2.9375677052e+00   2.3367898757e-02   3.8345319131e-01
  -6.2892339051e+00  -6.3304794601e+00   1.0000000000e+00   1.2500000000e-02  -2.8824423268e+00   1.4117128351e-02   4.1038083000e-01
  -6.2033241197e+00  -6.2479883502e+00   1.0000000000e+00   1.2500000000e-02  -2.8289621619e+00   1.4747974482e-03   4.3179164357e-01
  -6.1095053915e+00  -6.1586598893e+00   1.0000000000e+00   1.2500000000e-02  -2.7779909667e+00  -1.4999778493e-02   4.4573754100e-01
  -6.0057232894e+00  -6.0603508936e+00   1.0000000000e+00   1.2500000000e-02  -2.7310255925e+00  -3.5664154711e-02   4.4945424038e-01
  -5.8906866619e+00  -5.9510956852e+00   1.0000000000e+00   1.2500000000e-02  -2.6902598569e+00  -6.0434694414e-02   4.3960154834e-01
  -5.7650816588e+00  -5.8302776387e+00   1.0000000000e+00   1.2500000000e-02  -2.6578730767e+00  -8.8270412788e-02   4.1352872911e-01
  -5.6319203785e+00  -5.6998856789e+00   1.0000000000e+00   1.2500000000e-02  -2.6344201311e+00  -1.1701069584e-01   3.7124486376e-01
  -5.4949797902e+00  -5.5639550780e+00   1.0000000000e+00   1.2500000000e-02  -2.6178399330e+00  -1.4404770367e-01   3.1595824151e-01
  -5.3569763083e+00  -5.4260045023e+00   1.0000000000e+00   1.2500000000e-02  -2.6043732780e+00  -1.6726296188e-01   2.5220995125e-01
  -5.2195195175e+00  -5.2879481144e+00   1.0000000000e+00   1.2500000000e-02  -2.5902253719e+00  -1.8536901894e-01   1.8389395564e-01
  -5.0839504063e+00  -5.1510909206e+00   1.0000000000e+00   1.2500000000e-02  -2.5726786909e+00  -1.9783753126e-01   1.1357773143e-01
  -4.9515029795e+00  -5.0168098921e+00   1.0000000000e+00   1.2500000000e-02  -2.5504853328e+00  -2.0478774310e-01   4.2476812475e-02
  -4.8229102723e+00  -4.8861960670e+00   1.0000000000e+00   1.2500000000e-02  -2.5235670333e+00  -2.0676657130e-01  -2.9336761193e-02
  -4.6983026550e+00  -4.7596244777e+00   1.0000000000e+00   1.2500000000e-02  -2.4923155071e+00  -2.0442009475e-01  -1.0249301452e-01
  -4.5776154756e+00  -4.6369808323e+00   1.0000000000e+00   1.2500000000e-02  -2.4570009847e+00  -1.9824936502e-01  -1.7775703225e-01
  -4.4611148873e+00  -4.5182501189e+00   1.0000000000e+00   1.2500000000e-02  -2.4175123352e+00  -1.8855705197e-01  -2.5550556090e-01
  -4.3496825895e+00  -4.4039796557e+00   1.0000000000e+00   1.2500000000e-02  -2.3734275829e+00  -1.7556589293e-01  -3.3532072236e-01
  -4.2446959226e+00  -4.2953855234e+00   1.0000000000e+00   1.2500000000e-02  -2.3244108231e+00  -1.5964692487e-01  -4.1576415850e-01
  -4.1475155223e+00  -4.1940063218e+00   1.0000000000e+00   1.2500000000e-02  -2.2707321783e+00  -1.4150414036e-01  -4.9455924651e-01
  -4.0590689158e+00  -4.1010247227e+00   1.0000000000e+00   1.2500000000e-02  -2.2134933587e+00  -1.2214029376e-01  -5.6920754180e-01
  -3.9791037906e+00  -4.0171131090e+00   1.0000000000e+00   1.2500000000e-02  -2.1539169460e+00  -1.0247246281e-01  -6.3825337106e-01
  -3.9064895500e+00  -3.9410944723e+00   1.0000000000e+00   1.2500000000e-02  -2.0927558631e+00  -8.3087906095e-02  -7.0145202035e-01
  -3.8401383770e+00  -3.8718846277e+00   1.0000000000e+00   1.2500000000e-02  -2.0306491612e+00  -6.4393497636e-02  -7.5893949838e-01
  -3.7790058686e+00  -3.8083921263e+00   1.0000000000e+00   1.2500000000e-02  -1.9680362952e+00  -4.6632148550e-02  -8.1109586511e-01
  -3.7221627879e+00  -3.7496196108e+00   1.0000000000e+00   1.2500000000e-02  -1.9052060858e+00  -2.9938540515e-02  -8.5837035103e-01
  -3.6688139610e+00  -3.6947059649e+00   1.0000000000e+00   1.2500000000e-02  -1.8423447954e+00  -1.4382091607e-02  -9.0119140222e-01
  -3.6182876637e+00  -3.6429219572e+00   1.0000000000e+00   1.2500000000e-02  -1.7795688703e+00   5.2704391680e-06  -9.3993096865e-01
  -3.5700167580e+00  -3.5936533702e+00   1.0000000000e+00   1.2500000000e-02  -1.7169483469e+00   1.3211458755e-02  -9.7489311596e-01
  -3.5235239094e+00  -3.5463801457e+00   1.0000000000e+00   1.2500000000e-02  -1.6545302173e+00   2.5232000447e-02  -1.0063097522e+00
  -3.4784033604e+00  -3.5006676732e+00   1.0000000000e+00   1.2500000000e-02  -1.5923512196e+00   3.6064063626e-02  -1.0343453671e+00
  -3.4342667823e+00  -3.4561390476e+00   1.0000000000e+00   1.2500000000e-02  -1.5303924954e+00   4.5711668760e-02  -1.0591237822e+00
  -3.3907518579e+00  -3.4123945169e+00   1.0000000000e+00   1.2500000000e-02  -1.4686139583e+00   5.4174678721e-02  -1.0807072058e+00
  -3.3475398046e+00  -3.3691091988e+00   1.0000000000e+00   1.2500000000e-02  -1.4070052900e+00   6.1442251702e-02  -1.0990830167e+00
  -3.3043167827e+00  -3.3259704103e+00   1.0000000000e+00   1.2500000000e-02  -1.3455540258e+00   6.7498369777e-02  -1.1141762512e+00
  -3.2607586170e+00  -3.2826631551e+00   1.0000000000e+00   1.2500000000e-02  -1.2842466865e+00   7.2321944468e-02  -1.1258427268e+00
  -3.2165127926e+00  -3.2388540790e+00   1.0000000000e+00   1.2500000000e-02  -1.2230698303e+00   7.5887390049e-02  -1.1338564098e+00
  -3.1711748665e+00  -3.1941715062e+00   1.0000000000e+00   1.2500000000e-02  -1.1620110884e+00   7.8165979038e-02  -1.1378884712e+00
  -3.1242547719e+00  -3.1481782268e+00   1.0000000000e+00   1.2500000000e-02  -1.1010605781e+00   7.9128684696e-02  -1.1374733081e+00
  -3.0751248673e+00  -3.1003313170e+00   1.0000000000e+00   1.2500000000e-02  -1.0402134864e+00   7.8752109986e-02  -1.1319527202e+00
  -3.0229340284e+00  -3.0499184177e+00   1.0000000000e+00   1.2500000000e-02  -9.7947575363e-01   7.7031235818e-02  -1.1203809886e+00
  -2.9664556312e+00  -2.9959496391e+00   1.0000000000e+00   1.2500000000e-02  -9.1887828660e-01   7.4008353693e-02  -1.1013551219e+00
  -2.9038011435e+00  -2.9369616233e+00   1.0000000000e+00   1.2500000000e-02  -8.5851791955e-01   6.9844207499e-02  -1.0726926930e+00
  -2.8318705489e+00  -2.8706406637e+00   1.0000000000e+00   1.2500000000e-02  -7.9870409329e-01   6.5013831127e-02  -1.0307974190e+00
  -2.7456584163e+00  -2.7931004340e+00   1.0000000000e+00   1.2500000000e-02  -7.4068553025e-01   6.0925179392e-02  -9.6968305696e-01
  -2.6398541445e+00  -2.6982163986e+00   1.0000000000e+00   1.2500000000e-02  -6.8928753041e-01   6.1735392968e-02  -8.8204154697e-01
  -2.5148096808e+00  -2.5814918905e+00   1.0000000000e+00   1.2500000000e-02  -6.5313240302e-01   7.6501686038e-02  -7.6716134763e-01
  -2.3785821889e+00  -2.4481274711e+00   1.0000000000e+00   1.2500000000e-02  -6.3464336537e-01   1.1554643331e-01  -6.3720735028e-01
  -2.2392215048e+00  -2.3090369068e+00   1.0000000000e+00   1.2500000000e-02  -6.2551413225e-01   1.8290710280e-01  -5.0817509592e-01
  -2.1004354036e+00  -2.1694061027e+00   1.0000000000e+00   1.2500000000e-02  -6.1403083077e-01   2.7548642980e-01  -3.9096503614e-01
  -1.9671725353e+00  -2.0314647044e+00   1.0000000000e+00   1.2500000000e-02  -5.9060640063e-01   3.8268967939e-01  -2.9267716322e-01
  -1.8468971575e+00  -1.9028803663e+00   1.0000000000e+00   1.2500000000e-02  -5.5229900023e-01   4.8830617038e-01  -2.1593214645e-01
  -1.7434375012e+00  -1.7909139486e+00   1.0000000000e+00   1.2500000000e-02  -5.0312631732e-01   5.8070226194e-01  -1.5806530087e-01
  -1.6551656564e+00  -1.6959610539e+00   1.0000000000e+00   1.2500000000e-02  -4.4827719752e-01   6.5727412142e-01  -1.1414449658e-01
  -1.5783477899e+00  -1.6143702588e+00   1.0000000000e+00   1.2500000000e-02  -3.9079159881e-01   7.2012931908e-01  -7.9826529145e-02
