# time = 0
# Grid points = 408
# Domain Size = 7
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -6.9456283167e+00  -7.0000000000e+00   1.0000000000e+00   1.8500000000e-04   4.4029161889e-01   6.6632013079e-01   5.4834209027e-02
  -6.8370757081e+00  -6.8912566335e+00   1.0000000000e+00   1.8500000000e-04   6.3846839336e-01   6.2216830966e-01  -1.8553391502e-01
  -6.7214960781e+00  -6.7828947827e+00   1.0000000000e+00   1.8500000000e-04   5.4023684912e-01   5.7701161965e-01  -2.8833034190e-01
  -6.6293980212e+00  -6.6600973735e+00   1.0000000000e+00   1.8500000000e-04   5.9496826340e-01   5.2859520430e-01  -2.0338936765e-01
  -6.5679993165e+00  -6.5986986688e+00   1.0000000000e+00   1.8500000000e-04  -7.2288577318e-02   4.5501185687e-01  -7.8130698524e-02
  -6.5186653060e+00  -6.5372999642e+00   1.0000000000e+00   1.8500000000e-04  -7.1748294318e-01   3.7654866205e-01   8.6462948669e-02
  -6.4813959898e+00  -6.5000306479e+00   1.0000000000e+00   1.8500000000e-04  -7.5012193095e-01   3.2844055131e-01   1.8600333708e-01
  -6.4508281044e+00  -6.4627613316e+00   1.0000000000e+00   1.8500000000e-04  -7.5157569229e-01   2.7171162822e-01  -7.6242955934e-03
  -6.4331545348e+00  -6.4388948771e+00   1.0000000000e+00   1.8500000000e-04  -6.9452265007e-01   1.9801516319e-01  -2.2362405574e-01
  -6.4217691721e+00  -6.4274141926e+00   1.0000000000e+00   1.8500000000e-04  -3.7214698566e-01   7.3482636701e-02  -2.8139996720e-01
  -6.4025123730e+00  -6.4161241516e+00   1.0000000000e+00   1.8500000000e-04   9.2202380832e-02  -1.8348235113e-01  -1.8166159300e-01
  -6.3594146138e+00  -6.3889005944e+00   1.0000000000e+00   1.8500000000e-04   4.5393323033e-01  -4.0012301630e-01   3.2398789886e-02
  -6.3004426528e+00  -6.3299286333e+00   1.0000000000e+00   1.8500000000e-04   6.1077760657e-01  -6.4685872547e-01   2.3323704123e-01
  -6.2256634815e+00  -6.2709566722e+00   1.0000000000e+00   1.8500000000e-04   3.5723229206e-01  -7.5940509452e-01   2.7329382515e-01
  -6.1350771002e+00  -6.1803702909e+00   1.0000000000e+00   1.8500000000e-04   1.0879062802e-01  -3.9294681006e-01   2.2442394470e-01
  -6.0482522542e+00  -6.0897839095e+00   1.0000000000e+00   1.8500000000e-04  -8.8891381752e-02  -1.8392133652e-01  -2.2068651968e-02
  -5.9651889436e+00  -6.0067205989e+00   1.0000000000e+00   1.8500000000e-04  -2.8008054808e-01  -1.4403813139e-01  -2.2141987867e-01
  -5.8821256329e+00  -5.9236572882e+00   1.0000000000e+00   1.8500000000e-04  -5.5889711611e-01  -3.7169015596e-01  -3.1839914172e-01
  -5.7990623222e+00  -5.8405939775e+00   1.0000000000e+00   1.8500000000e-04  -6.6432925705e-01  -6.9133200435e-01  -3.4634708827e-01
  -5.7318238455e+00  -5.7575306668e+00   1.0000000000e+00   1.8500000000e-04  -5.8419326786e-01  -8.8023867256e-01  -2.9968740928e-01
  -5.6909016487e+00  -5.7061170242e+00   1.0000000000e+00   1.8500000000e-04  -3.5368384000e-01  -9.4238111531e-01   3.4251561295e-02
  -5.6528312080e+00  -5.6756862733e+00   1.0000000000e+00   1.8500000000e-04  -1.4764619141e-01  -7.6118827217e-01   5.1468137813e-01
  -5.6071210772e+00  -5.6299761426e+00   1.0000000000e+00   1.8500000000e-04   3.9215782052e-02  -6.1891569658e-01   8.7098342174e-01
  -5.5614109465e+00  -5.5842660119e+00   1.0000000000e+00   1.8500000000e-04   2.3401559662e-01  -3.6457424669e-01   1.0764151730e+00
  -5.5157008158e+00  -5.5385558812e+00   1.0000000000e+00   1.8500000000e-04   4.5890715534e-01  -9.8078663472e-02   9.7892786718e-01
  -5.4792951183e+00  -5.4928457505e+00   1.0000000000e+00   1.8500000000e-04   6.9555772778e-01   2.3395791092e-01   1.0343706273e+00
  -5.4514898984e+00  -5.4657444860e+00   1.0000000000e+00   1.8500000000e-04   8.0984061811e-01   3.3834600520e-01   3.4935677473e-01
  -5.4055657365e+00  -5.4372353107e+00   1.0000000000e+00   1.8500000000e-04   8.4516372476e-01   3.5094594413e-01  -3.0542879653e-01
  -5.3461466421e+00  -5.3738961622e+00   1.0000000000e+00   1.8500000000e-04   8.5268040912e-01   5.7420303940e-01  -3.2502442715e-01
  -5.2906476021e+00  -5.3183971221e+00   1.0000000000e+00   1.8500000000e-04   8.4806138432e-01   7.2098671362e-01  -3.3002625354e-01
  -5.2439426616e+00  -5.2628980821e+00   1.0000000000e+00   1.8500000000e-04   7.5293898183e-01   7.4688423287e-01  -2.7601525820e-01
  -5.2098325714e+00  -5.2249872410e+00   1.0000000000e+00   1.8500000000e-04   5.4939755483e-01   3.9714747278e-01   5.4352495670e-02
  -5.1790021152e+00  -5.1946779018e+00   1.0000000000e+00   1.8500000000e-04   3.3421946255e-01   8.7773647188e-02   5.3477051600e-01
  -5.1476505419e+00  -5.1633263285e+00   1.0000000000e+00   1.8500000000e-04   1.2610777655e-01   6.4336170376e-02   9.0855400272e-01
  -5.1208037744e+00  -5.1319747552e+00   1.0000000000e+00   1.8500000000e-04   2.8020784818e-01   2.2250256541e-01   1.0717255251e+00
  -5.1025914349e+00  -5.1096327937e+00   1.0000000000e+00   1.8500000000e-04   4.8290598567e-01   1.3988172046e-01   8.1595583814e-01
  -5.0867676210e+00  -5.0955500761e+00   1.0000000000e+00   1.8500000000e-04   7.2556037702e-01  -2.7645142401e-02   5.6359479550e-01
  -5.0633199640e+00  -5.0779851659e+00   1.0000000000e+00   1.8500000000e-04   8.2132366741e-01  -3.2822515407e-01   3.6185659426e-01
  -5.0339895601e+00  -5.0486547620e+00   1.0000000000e+00   1.8500000000e-04   5.5430042262e-01  -6.1008596655e-01   1.6605543420e-01
  -4.9899939543e+00  -5.0193243582e+00   1.0000000000e+00   1.8500000000e-04   3.2413459301e-01  -9.2492374402e-01  -1.1990356178e-01
